Student_ID,Student_Name,Gender,Class,Section,Subject,Attendance_Percentage,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Parental_Support,Internet_Access,Extracurricular_Activities,Internal_Marks,Assignment_Score,Final_Exam_Marks,Total_Marks,Grade,Result,Performance_Category
1004,Student_0004,Female,FY,C,Mathematics,75.1,9.4,8.0,Medium,Yes,Yes,16.6,10.0,36.2,62.8,B,Pass,Average
1004,Student_0004,Female,FY,C,Physics,75.1,9.4,8.0,Medium,Yes,Yes,13.2,8.0,41.3,62.5,B,Pass,Average
1004,Student_0004,Female,FY,C,Chemistry,75.1,9.4,8.0,Medium,Yes,Yes,20.4,8.7,40.8,69.9,B,Pass,Good
1004,Student_0004,Female,FY,C,English,75.1,9.4,8.0,Medium,Yes,Yes,30.0,7.5,41.4,78.9,B+,Pass,Good
1004,Student_0004,Female,FY,C,Computer Science,75.1,9.4,8.0,Medium,Yes,Yes,24.1,6.6,45.5,76.3,B+,Pass,Good
1005,Student_0005,Male,FY,C,Mathematics,60.5,12.7,6.8,High,Yes,No,8.7,8.3,21.7,38.7,F,Fail,Needs Improvement
1005,Student_0005,Male,FY,C,Physics,60.5,12.7,6.8,High,Yes,No,14.1,6.4,46.5,67.0,B,Pass,Good
1005,Student_0005,Male,FY,C,Chemistry,60.5,12.7,6.8,High,Yes,No,13.3,7.5,33.7,54.5,C,Pass,Average
1005,Student_0005,Male,FY,C,English,60.5,12.7,6.8,High,Yes,No,7.8,5.7,37.2,50.7,C,Pass,Average
1005,Student_0005,Male,FY,C,Computer Science,60.5,12.7,6.8,High,Yes,No,19.8,4.0,32.0,55.8,C,Pass,Average
1006,Student_0006,Male,TY,A,Mathematics,70.2,28.3,5.4,High,Yes,Yes,21.6,4.3,58.4,84.3,A,Pass,Excellent
1006,Student_0006,Male,TY,A,Physics,70.2,28.3,5.4,High,Yes,Yes,28.6,10.0,49.5,88.1,A,Pass,Excellent
1006,Student_0006,Male,TY,A,Chemistry,70.2,28.3,5.4,High,Yes,Yes,25.3,10.0,60.0,95.3,A+,Pass,Excellent
1006,Student_0006,Male,TY,A,English,70.2,28.3,5.4,High,Yes,Yes,30.0,10.0,52.4,92.4,A+,Pass,Excellent
1006,Student_0006,Male,TY,A,Computer Science,70.2,28.3,5.4,High,Yes,Yes,15.9,10.0,49.5,75.4,B+,Pass,Good
1007,Student_0007,Male,SY,A,Mathematics,91.7,10.4,6.7,Medium,Yes,No,22.1,7.2,48.8,78.1,B+,Pass,Good
1007,Student_0007,Male,SY,A,Physics,91.7,10.4,6.7,Medium,Yes,No,30.0,8.5,36.9,75.4,B+,Pass,Good
1007,Student_0007,Male,SY,A,Chemistry,91.7,10.4,6.7,Medium,Yes,No,12.8,8.9,45.2,66.9,B,Pass,Good
1007,Student_0007,Male,SY,A,English,91.7,10.4,6.7,Medium,Yes,No,16.2,10.0,54.0,80.1,A,Pass,Excellent
1007,Student_0007,Male,SY,A,Computer Science,91.7,10.4,6.7,Medium,Yes,No,22.0,10.0,55.6,87.7,A,Pass,Excellent
1008,Student_0008,Female,TY,B,Mathematics,70.9,21.2,7.7,High,No,Yes,22.0,7.1,55.3,84.5,A,Pass,Excellent
1008,Student_0008,Female,TY,B,Physics,70.9,21.2,7.7,High,No,Yes,21.9,7.7,43.1,72.7,B+,Pass,Good
1008,Student_0008,Female,TY,B,Chemistry,70.9,21.2,7.7,High,No,Yes,12.2,5.2,42.1,59.6,C,Pass,Average
1008,Student_0008,Female,TY,B,English,70.9,21.2,7.7,High,No,Yes,14.3,7.7,36.6,58.5,C,Pass,Average
1008,Student_0008,Female,TY,B,Computer Science,70.9,21.2,7.7,High,No,Yes,18.2,8.3,37.2,63.7,B,Pass,Average
1009,Student_0009,Female,FY,C,Mathematics,85.1,13.9,7.6,High,Yes,No,20.7,5.2,54.6,80.5,A,Pass,Excellent
1009,Student_0009,Female,FY,C,Physics,85.1,13.9,7.6,High,Yes,No,25.7,10.0,60.0,95.7,A+,Pass,Excellent
1009,Student_0009,Female,FY,C,Chemistry,85.1,13.9,7.6,High,Yes,No,19.9,3.0,42.8,65.7,B,Pass,Good
1009,Student_0009,Female,FY,C,English,85.1,13.9,7.6,High,Yes,No,29.8,7.7,39.1,76.5,B+,Pass,Good
1009,Student_0009,Female,FY,C,Computer Science,85.1,13.9,7.6,High,Yes,No,15.6,10.0,56.2,81.7,A,Pass,Excellent
1010,Student_0010,Female,SY,B,Mathematics,80.0,17.4,7.0,Medium,Yes,Yes,27.2,10.0,51.2,88.4,A,Pass,Excellent
1010,Student_0010,Female,SY,B,Physics,80.0,17.4,7.0,Medium,Yes,Yes,22.6,8.4,50.6,81.6,A,Pass,Excellent
1010,Student_0010,Female,SY,B,Chemistry,80.0,17.4,7.0,Medium,Yes,Yes,29.6,4.6,40.8,75.1,B+,Pass,Good
1010,Student_0010,Female,SY,B,English,80.0,17.4,7.0,Medium,Yes,Yes,22.6,8.5,60.0,91.1,A+,Pass,Excellent
1010,Student_0010,Female,SY,B,Computer Science,80.0,17.4,7.0,Medium,Yes,Yes,23.9,8.6,52.0,84.5,A,Pass,Excellent
1011,Student_0011,Male,FY,B,Mathematics,86.5,20.2,8.0,High,No,Yes,17.7,8.0,40.3,65.9,B,Pass,Good
1011,Student_0011,Male,FY,B,Physics,86.5,20.2,8.0,High,No,Yes,17.6,8.7,42.9,69.1,B,Pass,Good
1011,Student_0011,Male,FY,B,Chemistry,86.5,20.2,8.0,High,No,Yes,30.0,8.1,60.0,98.1,A+,Pass,Excellent
1011,Student_0011,Male,FY,B,English,86.5,20.2,8.0,High,No,Yes,18.5,4.7,50.2,73.4,B+,Pass,Good
1011,Student_0011,Male,FY,B,Computer Science,86.5,20.2,8.0,High,No,Yes,28.4,6.5,49.3,84.2,A,Pass,Excellent
1012,Student_0012,Female,FY,B,Mathematics,99.8,15.4,7.9,Medium,Yes,No,20.6,6.9,58.8,86.3,A,Pass,Excellent
1012,Student_0012,Female,FY,B,Physics,99.8,15.4,7.9,Medium,Yes,No,17.1,7.8,54.4,79.3,B+,Pass,Good
1012,Student_0012,Female,FY,B,Chemistry,99.8,15.4,7.9,Medium,Yes,No,27.2,10.0,60.0,97.2,A+,Pass,Excellent
1012,Student_0012,Female,FY,B,English,99.8,15.4,7.9,Medium,Yes,No,26.1,10.0,60.0,96.1,A+,Pass,Excellent
1012,Student_0012,Female,FY,B,Computer Science,99.8,15.4,7.9,Medium,Yes,No,30.0,7.2,60.0,97.2,A+,Pass,Excellent
1013,Student_0013,Female,TY,A,Mathematics,85.1,12.2,6.4,Low,Yes,Yes,17.5,7.3,59.6,84.3,A,Pass,Excellent
1013,Student_0013,Female,TY,A,Physics,85.1,12.2,6.4,Low,Yes,Yes,13.6,9.8,54.4,77.9,B+,Pass,Good
1013,Student_0013,Female,TY,A,Chemistry,85.1,12.2,6.4,Low,Yes,Yes,23.4,5.5,57.8,86.7,A,Pass,Excellent
1013,Student_0013,Female,TY,A,English,85.1,12.2,6.4,Low,Yes,Yes,20.6,8.6,46.7,75.8,B+,Pass,Good
1013,Student_0013,Female,TY,A,Computer Science,85.1,12.2,6.4,Low,Yes,Yes,19.4,8.2,60.0,87.6,A,Pass,Excellent
1014,Student_0014,Male,FY,B,Mathematics,79.8,13.1,5.3,Medium,Yes,No,28.1,6.8,43.4,78.2,B+,Pass,Good
1014,Student_0014,Male,FY,B,Physics,79.8,13.1,5.3,Medium,Yes,No,13.1,5.8,41.7,60.6,B,Pass,Average
1014,Student_0014,Male,FY,B,Chemistry,79.8,13.1,5.3,Medium,Yes,No,18.5,4.8,37.8,61.2,B,Pass,Average
1014,Student_0014,Male,FY,B,English,79.8,13.1,5.3,Medium,Yes,No,21.8,10.0,34.2,66.0,B,Pass,Good
1014,Student_0014,Male,FY,B,Computer Science,79.8,13.1,5.3,Medium,Yes,No,11.8,2.8,39.1,53.7,C,Pass,Average
1015,Student_0015,Male,SY,B,Mathematics,100.0,13.2,7.2,High,Yes,No,20.1,7.6,47.4,75.1,B+,Pass,Good
1015,Student_0015,Male,SY,B,Physics,100.0,13.2,7.2,High,Yes,No,13.5,10.0,60.0,83.5,A,Pass,Excellent
1015,Student_0015,Male,SY,B,Chemistry,100.0,13.2,7.2,High,Yes,No,22.2,8.7,54.0,84.9,A,Pass,Excellent
1015,Student_0015,Male,SY,B,English,100.0,13.2,7.2,High,Yes,No,21.6,7.4,60.0,89.0,A,Pass,Excellent
1015,Student_0015,Male,SY,B,Computer Science,100.0,13.2,7.2,High,Yes,No,25.9,9.1,48.7,83.6,A,Pass,Excellent
1016,Student_0016,Male,SY,A,Mathematics,82.2,23.3,6.2,High,Yes,Yes,23.5,5.8,60.0,89.3,A,Pass,Excellent
1016,Student_0016,Male,SY,A,Physics,82.2,23.3,6.2,High,Yes,Yes,13.2,6.4,35.0,54.5,C,Pass,Average
1016,Student_0016,Male,SY,A,Chemistry,82.2,23.3,6.2,High,Yes,Yes,28.9,7.9,46.7,83.4,A,Pass,Excellent
1016,Student_0016,Male,SY,A,English,82.2,23.3,6.2,High,Yes,Yes,27.2,10.0,54.2,91.5,A+,Pass,Excellent
1016,Student_0016,Male,SY,A,Computer Science,82.2,23.3,6.2,High,Yes,Yes,30.0,7.2,42.6,79.8,B+,Pass,Good
1017,Student_0017,Male,SY,C,Mathematics,68.5,6.6,7.2,Medium,Yes,No,11.7,7.9,32.3,51.9,C,Pass,Average
1017,Student_0017,Male,SY,C,Physics,68.5,6.6,7.2,Medium,Yes,No,15.8,0.5,35.9,52.2,C,Pass,Average
1017,Student_0017,Male,SY,C,Chemistry,68.5,6.6,7.2,Medium,Yes,No,16.0,9.0,45.9,70.9,B+,Pass,Good
1017,Student_0017,Male,SY,C,English,68.5,6.6,7.2,Medium,Yes,No,20.3,2.1,37.1,59.4,C,Pass,Average
1017,Student_0017,Male,SY,C,Computer Science,68.5,6.6,7.2,Medium,Yes,No,25.0,5.6,30.4,61.1,B,Pass,Average
1018,Student_0018,Female,TY,C,Mathematics,86.2,5.1,8.5,Medium,No,No,9.4,6.7,46.3,62.5,B,Pass,Average
1018,Student_0018,Female,TY,C,Physics,86.2,5.1,8.5,Medium,No,No,19.2,3.9,33.9,57.0,C,Pass,Average
1018,Student_0018,Female,TY,C,Chemistry,86.2,5.1,8.5,Medium,No,No,16.1,8.9,44.8,69.9,B,Pass,Good
1018,Student_0018,Female,TY,C,English,86.2,5.1,8.5,Medium,No,No,20.6,8.0,39.6,68.2,B,Pass,Good
1018,Student_0018,Female,TY,C,Computer Science,86.2,5.1,8.5,Medium,No,No,25.3,8.1,43.3,76.7,B+,Pass,Good
1019,Student_0019,Male,FY,B,Mathematics,83.4,5.5,7.5,Medium,Yes,Yes,14.2,8.9,39.5,62.6,B,Pass,Average
1019,Student_0019,Male,FY,B,Physics,83.4,5.5,7.5,Medium,Yes,Yes,15.8,4.0,43.9,63.6,B,Pass,Average
1019,Student_0019,Male,FY,B,Chemistry,83.4,5.5,7.5,Medium,Yes,Yes,20.6,5.1,35.8,61.5,B,Pass,Average
1019,Student_0019,Male,FY,B,English,83.4,5.5,7.5,Medium,Yes,Yes,20.3,3.5,43.2,67.0,B,Pass,Good
1019,Student_0019,Male,FY,B,Computer Science,83.4,5.5,7.5,Medium,Yes,Yes,11.6,3.2,37.0,51.8,C,Pass,Average
1020,Student_0020,Male,SY,A,Mathematics,74.3,9.5,8.4,High,Yes,No,17.7,6.9,49.1,73.7,B+,Pass,Good
1020,Student_0020,Male,SY,A,Physics,74.3,9.5,8.4,High,Yes,No,16.9,6.8,27.2,50.9,C,Pass,Average
1020,Student_0020,Male,SY,A,Chemistry,74.3,9.5,8.4,High,Yes,No,11.7,6.4,39.4,57.4,C,Pass,Average
1020,Student_0020,Male,SY,A,English,74.3,9.5,8.4,High,Yes,No,21.9,9.4,31.6,62.9,B,Pass,Average
1020,Student_0020,Male,SY,A,Computer Science,74.3,9.5,8.4,High,Yes,No,27.9,2.5,44.0,74.4,B+,Pass,Good
1021,Student_0021,Female,TY,C,Mathematics,71.8,17.5,5.9,High,Yes,No,19.6,2.7,13.2,35.5,F,Fail,Needs Improvement
1021,Student_0021,Female,TY,C,Physics,71.8,17.5,5.9,High,Yes,No,17.7,6.1,48.7,72.6,B+,Pass,Good
1021,Student_0021,Female,TY,C,Chemistry,71.8,17.5,5.9,High,Yes,No,18.4,4.6,34.9,57.9,C,Pass,Average
1021,Student_0021,Female,TY,C,English,71.8,17.5,5.9,High,Yes,No,30.0,4.2,47.5,81.7,A,Pass,Excellent
1021,Student_0021,Female,TY,C,Computer Science,71.8,17.5,5.9,High,Yes,No,22.0,7.8,46.0,75.8,B+,Pass,Good
1022,Student_0022,Male,SY,B,Mathematics,74.4,17.8,8.2,Medium,No,Yes,7.8,7.0,39.0,53.9,C,Pass,Average
1022,Student_0022,Male,SY,B,Physics,74.4,17.8,8.2,Medium,No,Yes,18.2,8.1,36.4,62.7,B,Pass,Average
1022,Student_0022,Male,SY,B,Chemistry,74.4,17.8,8.2,Medium,No,Yes,15.5,8.9,38.2,62.6,B,Pass,Average
1022,Student_0022,Male,SY,B,English,74.4,17.8,8.2,Medium,No,Yes,19.1,5.2,49.5,73.8,B+,Pass,Good
1022,Student_0022,Male,SY,B,Computer Science,74.4,17.8,8.2,Medium,No,Yes,19.5,10.0,43.7,73.2,B+,Pass,Good
1023,Student_0023,Male,TY,B,Mathematics,71.6,11.0,8.8,Medium,Yes,Yes,11.6,7.3,27.6,46.6,D,Pass,Needs Improvement
1023,Student_0023,Male,TY,B,Physics,71.6,11.0,8.8,Medium,Yes,Yes,14.7,8.1,44.2,67.0,B,Pass,Good
1023,Student_0023,Male,TY,B,Chemistry,71.6,11.0,8.8,Medium,Yes,Yes,13.2,5.0,35.9,54.1,C,Pass,Average
1023,Student_0023,Male,TY,B,English,71.6,11.0,8.8,Medium,Yes,Yes,25.5,2.9,41.3,69.7,B,Pass,Good
1023,Student_0023,Male,TY,B,Computer Science,71.6,11.0,8.8,Medium,Yes,Yes,18.1,3.4,48.2,69.7,B,Pass,Good
1024,Student_0024,Male,FY,A,Mathematics,74.8,13.9,7.1,Medium,Yes,Yes,26.9,10.0,45.1,82.1,A,Pass,Excellent
1024,Student_0024,Male,FY,A,Physics,74.8,13.9,7.1,Medium,Yes,Yes,23.3,8.4,37.9,69.6,B,Pass,Good
1024,Student_0024,Male,FY,A,Chemistry,74.8,13.9,7.1,Medium,Yes,Yes,14.7,8.5,47.9,71.1,B+,Pass,Good
1024,Student_0024,Male,FY,A,English,74.8,13.9,7.1,Medium,Yes,Yes,22.6,7.4,60.0,89.9,A,Pass,Excellent
1024,Student_0024,Male,FY,A,Computer Science,74.8,13.9,7.1,Medium,Yes,Yes,12.3,9.2,56.6,78.1,B+,Pass,Good
1025,Student_0025,Male,SY,B,Mathematics,67.9,8.4,9.6,Medium,Yes,No,10.1,6.1,37.0,53.1,C,Pass,Average
1025,Student_0025,Male,SY,B,Physics,67.9,8.4,9.6,Medium,Yes,No,19.5,4.0,44.5,67.9,B,Pass,Good
1025,Student_0025,Male,SY,B,Chemistry,67.9,8.4,9.6,Medium,Yes,No,14.6,6.0,54.2,74.8,B+,Pass,Good
1025,Student_0025,Male,SY,B,English,67.9,8.4,9.6,Medium,Yes,No,26.2,7.1,32.5,65.8,B,Pass,Good
1025,Student_0025,Male,SY,B,Computer Science,67.9,8.4,9.6,Medium,Yes,No,22.7,7.8,25.2,55.6,C,Pass,Average
1026,Student_0026,Female,FY,C,Mathematics,82.6,8.9,6.1,Medium,Yes,No,12.3,3.3,31.4,47.0,D,Pass,Needs Improvement
1026,Student_0026,Female,FY,C,Physics,82.6,8.9,6.1,Medium,Yes,No,7.8,6.0,33.5,47.3,D,Pass,Needs Improvement
1026,Student_0026,Female,FY,C,Chemistry,82.6,8.9,6.1,Medium,Yes,No,25.3,6.1,37.0,68.5,B,Pass,Good
1026,Student_0026,Female,FY,C,English,82.6,8.9,6.1,Medium,Yes,No,14.7,5.9,58.7,79.3,B+,Pass,Good
1026,Student_0026,Female,FY,C,Computer Science,82.6,8.9,6.1,Medium,Yes,No,29.4,6.1,44.9,80.4,A,Pass,Excellent
1027,Student_0027,Male,TY,A,Mathematics,81.7,16.9,6.3,High,Yes,No,15.7,9.1,60.0,84.7,A,Pass,Excellent
1027,Student_0027,Male,TY,A,Physics,81.7,16.9,6.3,High,Yes,No,25.6,10.0,60.0,95.6,A+,Pass,Excellent
1027,Student_0027,Male,TY,A,Chemistry,81.7,16.9,6.3,High,Yes,No,27.3,7.5,39.9,74.7,B+,Pass,Good
1027,Student_0027,Male,TY,A,English,81.7,16.9,6.3,High,Yes,No,25.1,5.7,51.0,81.8,A,Pass,Excellent
1027,Student_0027,Male,TY,A,Computer Science,81.7,16.9,6.3,High,Yes,No,20.4,7.2,39.1,66.7,B,Pass,Good
1028,Student_0028,Female,TY,C,Mathematics,82.1,19.2,7.7,Low,Yes,Yes,19.6,8.6,45.3,73.5,B+,Pass,Good
1028,Student_0028,Female,TY,C,Physics,82.1,19.2,7.7,Low,Yes,Yes,16.7,7.3,59.8,83.8,A,Pass,Excellent
1028,Student_0028,Female,TY,C,Chemistry,82.1,19.2,7.7,Low,Yes,Yes,16.0,10.0,30.3,56.3,C,Pass,Average
1028,Student_0028,Female,TY,C,English,82.1,19.2,7.7,Low,Yes,Yes,14.0,6.6,46.0,66.7,B,Pass,Good
1028,Student_0028,Female,TY,C,Computer Science,82.1,19.2,7.7,Low,Yes,Yes,15.9,6.2,49.0,71.1,B+,Pass,Good
1029,Student_0029,Female,FY,C,Mathematics,77.3,11.6,7.1,Medium,No,Yes,19.1,8.5,44.6,72.2,B+,Pass,Good
1029,Student_0029,Female,FY,C,Physics,77.3,11.6,7.1,Medium,No,Yes,10.4,3.8,32.8,47.0,D,Pass,Needs Improvement
1029,Student_0029,Female,FY,C,Chemistry,77.3,11.6,7.1,Medium,No,Yes,14.6,4.9,42.2,61.7,B,Pass,Average
1029,Student_0029,Female,FY,C,English,77.3,11.6,7.1,Medium,No,Yes,22.0,3.5,28.1,53.7,C,Pass,Average
1029,Student_0029,Female,FY,C,Computer Science,77.3,11.6,7.1,Medium,No,Yes,11.8,3.5,45.0,60.3,B,Pass,Average
1030,Student_0030,Male,SY,C,Mathematics,75.9,22.2,6.2,Medium,Yes,No,24.4,3.5,48.7,76.7,B+,Pass,Good
1030,Student_0030,Male,SY,C,Physics,75.9,22.2,6.2,Medium,Yes,No,22.1,10.0,43.6,75.7,B+,Pass,Good
1030,Student_0030,Male,SY,C,Chemistry,75.9,22.2,6.2,Medium,Yes,No,19.4,10.0,46.7,76.1,B+,Pass,Good
1030,Student_0030,Male,SY,C,English,75.9,22.2,6.2,Medium,Yes,No,25.7,9.0,36.3,70.9,B+,Pass,Good
1030,Student_0030,Male,SY,C,Computer Science,75.9,22.2,6.2,Medium,Yes,No,24.0,4.7,49.5,78.2,B+,Pass,Good
1031,Student_0031,Female,FY,B,Mathematics,95.3,18.8,7.7,Medium,Yes,Yes,17.8,9.6,48.4,75.8,B+,Pass,Good
1031,Student_0031,Female,FY,B,Physics,95.3,18.8,7.7,Medium,Yes,Yes,16.1,5.3,56.1,77.4,B+,Pass,Good
1031,Student_0031,Female,FY,B,Chemistry,95.3,18.8,7.7,Medium,Yes,Yes,22.2,4.4,45.8,72.4,B+,Pass,Good
1031,Student_0031,Female,FY,B,English,95.3,18.8,7.7,Medium,Yes,Yes,24.6,4.9,46.8,76.3,B+,Pass,Good
1031,Student_0031,Female,FY,B,Computer Science,95.3,18.8,7.7,Medium,Yes,Yes,29.0,10.0,54.3,93.2,A+,Pass,Excellent
1032,Student_0032,Male,SY,B,Mathematics,78.8,22.0,7.4,Medium,Yes,No,16.1,7.1,47.5,70.7,B+,Pass,Good
1032,Student_0032,Male,SY,B,Physics,78.8,22.0,7.4,Medium,Yes,No,22.2,10.0,41.4,73.6,B+,Pass,Good
1032,Student_0032,Male,SY,B,Chemistry,78.8,22.0,7.4,Medium,Yes,No,19.2,2.1,33.3,54.7,C,Pass,Average
1032,Student_0032,Male,SY,B,English,78.8,22.0,7.4,Medium,Yes,No,15.3,4.7,35.0,55.1,C,Pass,Average
1032,Student_0032,Male,SY,B,Computer Science,78.8,22.0,7.4,Medium,Yes,No,15.7,9.6,27.1,52.4,C,Pass,Average
1033,Student_0033,Male,SY,C,Mathematics,93.2,12.5,6.4,Medium,Yes,No,23.0,6.6,55.8,85.5,A,Pass,Excellent
1033,Student_0033,Male,SY,C,Physics,93.2,12.5,6.4,Medium,Yes,No,16.7,10.0,30.8,57.5,C,Pass,Average
1033,Student_0033,Male,SY,C,Chemistry,93.2,12.5,6.4,Medium,Yes,No,27.4,5.2,58.9,91.4,A+,Pass,Excellent
1033,Student_0033,Male,SY,C,English,93.2,12.5,6.4,Medium,Yes,No,21.4,10.0,60.0,91.4,A+,Pass,Excellent
1033,Student_0033,Male,SY,C,Computer Science,93.2,12.5,6.4,Medium,Yes,No,19.8,10.0,47.6,77.4,B+,Pass,Good
1034,Student_0034,Female,TY,C,Mathematics,66.0,21.6,7.2,Medium,No,Yes,16.8,3.3,28.0,48.0,D,Pass,Needs Improvement
1034,Student_0034,Female,TY,C,Physics,66.0,21.6,7.2,Medium,No,Yes,10.8,6.7,26.0,43.5,D,Pass,Needs Improvement
1034,Student_0034,Female,TY,C,Chemistry,66.0,21.6,7.2,Medium,No,Yes,10.1,3.2,29.5,42.8,D,Pass,Needs Improvement
1034,Student_0034,Female,TY,C,English,66.0,21.6,7.2,Medium,No,Yes,21.7,8.1,47.0,76.7,B+,Pass,Good
1034,Student_0034,Female,TY,C,Computer Science,66.0,21.6,7.2,Medium,No,Yes,18.0,5.6,36.3,59.9,C,Pass,Average
1035,Student_0035,Female,SY,A,Mathematics,85.1,24.9,7.8,High,Yes,Yes,28.3,8.4,57.5,94.3,A+,Pass,Excellent
1035,Student_0035,Female,SY,A,Physics,85.1,24.9,7.8,High,Yes,Yes,17.5,10.0,55.7,83.2,A,Pass,Excellent
1035,Student_0035,Female,SY,A,Chemistry,85.1,24.9,7.8,High,Yes,Yes,19.6,10.0,43.6,73.1,B+,Pass,Good
1035,Student_0035,Female,SY,A,English,85.1,24.9,7.8,High,Yes,Yes,16.3,10.0,60.0,86.3,A,Pass,Excellent
1035,Student_0035,Female,SY,A,Computer Science,85.1,24.9,7.8,High,Yes,Yes,20.7,9.7,60.0,90.4,A+,Pass,Excellent
1036,Student_0036,Female,SY,A,Mathematics,69.2,11.9,6.3,Medium,Yes,Yes,28.8,4.5,19.2,52.5,C,Pass,Average
1036,Student_0036,Female,SY,A,Physics,69.2,11.9,6.3,Medium,Yes,Yes,10.6,0.9,59.5,71.1,B+,Pass,Good
1036,Student_0036,Female,SY,A,Chemistry,69.2,11.9,6.3,Medium,Yes,Yes,18.6,10.0,38.1,66.7,B,Pass,Good
1036,Student_0036,Female,SY,A,English,69.2,11.9,6.3,Medium,Yes,Yes,17.1,2.3,40.7,60.2,B,Pass,Average
1036,Student_0036,Female,SY,A,Computer Science,69.2,11.9,6.3,Medium,Yes,Yes,24.9,6.1,28.9,59.9,C,Pass,Average
1037,Student_0037,Male,FY,B,Mathematics,71.3,13.2,7.6,High,Yes,No,22.7,6.0,37.6,66.4,B,Pass,Good
1037,Student_0037,Male,FY,B,Physics,71.3,13.2,7.6,High,Yes,No,11.0,8.9,40.3,60.3,B,Pass,Average
1037,Student_0037,Male,FY,B,Chemistry,71.3,13.2,7.6,High,Yes,No,7.2,3.6,50.6,61.4,B,Pass,Average
1037,Student_0037,Male,FY,B,English,71.3,13.2,7.6,High,Yes,No,21.8,4.5,49.0,75.3,B+,Pass,Good
1037,Student_0037,Male,FY,B,Computer Science,71.3,13.2,7.6,High,Yes,No,18.4,5.7,45.1,69.2,B,Pass,Good
1038,Student_0038,Male,FY,B,Mathematics,73.1,9.3,6.0,Medium,Yes,No,27.6,2.7,44.5,74.8,B+,Pass,Good
1038,Student_0038,Male,FY,B,Physics,73.1,9.3,6.0,Medium,Yes,No,13.0,4.9,29.3,47.2,D,Pass,Needs Improvement
1038,Student_0038,Male,FY,B,Chemistry,73.1,9.3,6.0,Medium,Yes,No,16.9,4.6,56.3,77.8,B+,Pass,Good
1038,Student_0038,Male,FY,B,English,73.1,9.3,6.0,Medium,Yes,No,20.0,2.7,50.0,72.8,B+,Pass,Good
1038,Student_0038,Male,FY,B,Computer Science,73.1,9.3,6.0,Medium,Yes,No,22.4,6.9,54.5,83.8,A,Pass,Excellent
1039,Student_0039,Female,FY,A,Mathematics,72.3,8.3,6.3,Medium,No,No,15.5,7.4,37.6,60.5,B,Pass,Average
1039,Student_0039,Female,FY,A,Physics,72.3,8.3,6.3,Medium,No,No,20.4,3.1,46.4,69.9,B,Pass,Good
1039,Student_0039,Female,FY,A,Chemistry,72.3,8.3,6.3,Medium,No,No,20.3,4.3,60.0,84.7,A,Pass,Excellent
1039,Student_0039,Female,FY,A,English,72.3,8.3,6.3,Medium,No,No,15.1,7.6,36.2,58.9,C,Pass,Average
1039,Student_0039,Female,FY,A,Computer Science,72.3,8.3,6.3,Medium,No,No,23.8,10.0,50.8,84.6,A,Pass,Excellent
1040,Student_0040,Male,FY,C,Mathematics,72.4,8.3,8.2,Medium,Yes,Yes,20.0,4.7,40.9,65.6,B,Pass,Good
